metabolites,species,fluxes
ac,A1R12,0.947799144982383
ac,C3R17,-10.9477991449824
acald,A1R12,0.561428638779887
acald,C3R17,-0.561428638779887
ala__D,A1R12,1.0700046841315
ala__D,C3R17,-1.0700046841315
ala__L,A1R12,1.58766528756236
ala__L,C3R17,-1.58766528756236
asp__L,A1R12,-0.466073691624697
asp__L,C3R17,0.466073691624697
co2,A1R12,0.798286300937479
co2,C3R17,3.58212027422308
etoh,A1R12,-1.91955930045297
etoh,C3R17,1.91955930045297
glu__L,A1R12,0.393714909432885
glu__L,C3R17,-0.393714909432885
gly,A1R12,-0.0190310612134558
gly,C3R17,0.0190310612134558
h2s,A1R12,0.0878063422803166
h2s,C3R17,-0.0878063422803166
ile__L,A1R12,-0.00281353803132615
ile__L,C3R17,0.00281353803132615
leu__L,A1R12,-0.00436302779653003
leu__L,C3R17,0.00436302779653003
pyr,A1R12,-3.31958805105504
pyr,C3R17,3.31958805105504
val__L,A1R12,0.31605650477902
val__L,C3R17,-0.31605650477902
