metabolites,species,fluxes
ac,A1R12,3.13101291190029
ac,B3M02,-3.13101291190029
acald,A1R12,0.888044490769441
acald,B3M02,-0.888044490769441
ala__D,A1R12,2.38620681188519
ala__D,B3M02,-2.38620681188519
ala__L,A1R12,3.63368919111136
ala__L,B3M02,-3.63368919111136
arg__L,A1R12,-0.00286450592294621
arg__L,B3M02,0.00286450592294621
asp__L,A1R12,-1.39131145831114
asp__L,B3M02,1.39131145831114
cit,A1R12,-1.53473038616601
cit,B3M02,-8.46526961383399
co2,A1R12,4.15531333614025
co2,B3M02,23.747969443971
etoh,A1R12,-3.87305136875342
etoh,B3M02,3.87305136875342
glu__L,A1R12,1.03284589208955
glu__L,B3M02,-1.03284589208955
gly,A1R12,-0.0215744674928982
gly,B3M02,0.0215744674928982
h2s,A1R12,0.182800802868144
h2s,B3M02,-0.182800802868144
ile__L,A1R12,0.215832948433933
ile__L,B3M02,-0.215832948433933
leu__L,A1R12,0.334697858357989
leu__L,B3M02,-0.334697858357989
pyr,A1R12,-5.76200915066389
pyr,B3M02,5.76200915066389
succ,A1R12,0.00985385698976449
succ,B3M02,-0.00985385698976449
thr__L,A1R12,-0.220210783356876
thr__L,B3M02,0.220210783356876
val__L,A1R12,0.314793435090809
val__L,B3M02,-0.314793435090809
