metabolites,species,fluxes
ac,A1R12,1.9902052718449
ac,C3R12,-1.9902052718449
acald,A1R12,1.7783713599603
acald,C3R12,-1.7783713599603
ala__D,A1R12,2.12970921475895
ala__D,C3R12,-2.12970921475895
ala__L,A1R12,3.46517611029857
ala__L,C3R12,-3.46517611029857
arg__L,A1R12,-0.00636856810493898
arg__L,C3R12,0.00636856810493898
asp__L,A1R12,-10.0922880288142
asp__L,C3R12,10.0922880288142
cit,A1R12,-9.98144555137259
cit,C3R12,-0.0185544486274149
co2,A1R12,10.6426877115943
co2,C3R12,21.1962925063606
etoh,A1R12,-4.07080737477135
etoh,C3R12,4.07080737477135
glu__L,A1R12,9.94028237867904
glu__L,C3R12,-9.94028237867904
gly,A1R12,-0.0479946593344675
gly,C3R12,0.0479946593344675
h2s,A1R12,0.157185168402066
h2s,C3R12,-0.157185168402066
ile__L,A1R12,0.185588563150665
ile__L,C3R12,-0.185588563150665
leu__L,A1R12,0.287797090634093
leu__L,C3R12,-0.287797090634093
pyr,A1R12,-5.83626465652458
pyr,C3R12,5.83626465652458
ser__L,A1R12,-0.00785415537799805
ser__L,C3R12,0.00785415537799805
succ,A1R12,9.98110933011059
succ,C3R12,-9.98110933011059
thr__L,A1R12,-0.187242380152793
thr__L,C3R12,0.187242380152793
val__L,A1R12,-0.306620593867908
val__L,C3R12,0.306620593867908
