metabolites,species,fluxes
ac,A1R12,1.06431021735767
ac,D2R05,-1.06431021735767
acald,A1R12,-0.536335273559047
acald,D2R05,0.536335273559047
ala__D,A1R12,1.1244013878705
ala__D,D2R05,-1.1244013878705
ala__L,A1R12,2.05873490070748
ala__L,D2R05,-2.05873490070748
asp__L,A1R12,-1.49164578869511
asp__L,D2R05,1.49164578869511
cit,D2R05,-9.99984877168925
co2,A1R12,3.47397798495381
co2,D2R05,30.6736058852256
etoh,A1R12,0.0528485762458028
etoh,D2R05,-0.0528485762458028
glu__L,A1R12,1.34119891111239
glu__L,D2R05,-1.34119891111239
gly,A1R12,-0.0215874249385731
gly,D2R05,0.0215874249385731
gthox,A1R12,2.40728033015419
gthox,D2R05,-2.40728033015419
gthrd,A1R12,-4.81456066030839
gthrd,D2R05,4.81456066030839
h2o2,A1R12,-2.40728033015419
h2o2,D2R05,2.40728033015419
h2s,A1R12,0.146726946016409
h2s,D2R05,-0.146726946016409
pyr,A1R12,-5.09195870690957
pyr,D2R05,5.09195870690957
thr__L,A1R12,-0.00437783492307142
thr__L,D2R05,0.00437783492307142
