metabolites,species,fluxes
ac,A1R12,0.766090444902147
ac,B3R10,-0.766090444902147
acald,A1R12,1.29170839584094
acald,B3R10,-1.29170839584094
ala__D,A1R12,0.616376564304863
ala__D,B3R10,-0.616376564304863
ala__L,A1R12,0.802205554924473
ala__L,B3R10,-0.802205554924473
asp__L,A1R12,-9.95168444409669
asp__L,B3R10,9.95168444409669
cit,A1R12,-9.89810486499421
cit,B3R10,-0.101895135005785
co2,A1R12,11.3702231290087
co2,B3R10,22.3040067985813
etoh,A1R12,-0.681083451145815
etoh,B3R10,0.681083451145815
glu__L,A1R12,9.88125207927348
glu__L,B3R10,-9.88125207927348
gly,A1R12,-0.0215874249397798
gly,B3R10,0.0215874249397798
gthox,A1R12,1.83341105073674
gthox,B3R10,-1.83341105073674
gthrd,A1R12,-3.66682210147349
gthrd,B3R10,3.66682210147349
h2o2,A1R12,-1.83341105073674
h2o2,B3R10,1.83341105073674
h2s,A1R12,-0.00238294020800822
h2s,B3R10,0.00238294020800822
pyr,A1R12,-2.8436245705434
pyr,B3R10,2.8436245705434
succ,A1R12,9.89795363668346
succ,B3R10,-9.89795363668346
thr__L,A1R12,-0.00527029113494163
thr__L,B3R10,0.00527029113494163
