metabolites,species,fluxes
4abut,A1R12,-0.00667459552441205
4abut,m_3D05,0.00667459552441205
ac,A1R12,0.869775362365544
ac,m_3D05,-10.8697753623655
acald,A1R12,-0.857334749652864
acald,m_3D05,0.857334749652864
ala__D,A1R12,0.538567736299266
ala__D,m_3D05,-0.538567736299266
ala__L,A1R12,0.927156855218053
ala__L,m_3D05,-0.927156855218053
asp__L,A1R12,-0.449097058769242
asp__L,m_3D05,0.449097058769242
co2,A1R12,0.654243746981396
co2,m_3D05,10.0607293194143
etoh,A1R12,-0.413276407412808
etoh,m_3D05,0.413276407412808
glu__L,A1R12,0.387828310295429
glu__L,m_3D05,-0.387828310295429
gly,A1R12,-0.0215874249383581
gly,m_3D05,0.0215874249383581
gthox,A1R12,1.377667950692
gthox,m_3D05,-1.377667950692
gthrd,A1R12,-2.75533590138399
gthrd,m_3D05,2.75533590138399
h2o2,A1R12,-1.377667950692
h2o2,m_3D05,1.377667950692
h2s,A1R12,0.0512258711923437
h2s,m_3D05,-0.0512258711923437
ile__L,A1R12,-0.00192108181918903
ile__L,m_3D05,0.00192108181918903
leu__L,A1R12,-0.00436302779653003
leu__L,m_3D05,0.00436302779653003
pyr,A1R12,-1.8695121775377
pyr,m_3D05,1.8695121775377
ser__L,A1R12,-0.00353270534813876
ser__L,m_3D05,0.00353270534813876
thr__L,A1R12,-0.00245675310382263
thr__L,m_3D05,0.00245675310382263
val__L,A1R12,0.186203763770067
val__L,m_3D05,-0.186203763770067
