metabolites,species,fluxes
ac,A1R12,16.0039582334093
ac,m_4B03,-16.0039582334093
acald,A1R12,-7.11098573155596
acald,m_4B03,7.11098573155596
ala__D,A1R12,3.21356554662565
ala__D,m_4B03,-3.21356554662565
ala__L,A1R12,4.74864273406804
ala__L,m_4B03,-4.74864273406804
asp__L,A1R12,4.69456791086622
asp__L,m_4B03,-4.69456791086622
cit,A1R12,-10
co2,A1R12,6.17406370058945
co2,m_4B03,12.3448332535693
etoh,A1R12,-4.14774461119676
etoh,m_4B03,4.14774461119676
glu__L,A1R12,5.23310994179397
glu__L,m_4B03,-5.23310994179397
gly,A1R12,-0.0215874249387481
gly,m_4B03,0.0215874249387481
gthox,A1R12,8.99099362294511
gthox,m_4B03,-8.99099362294511
gthrd,A1R12,-17.9819872458902
gthrd,m_4B03,17.9819872458902
h2o2,A1R12,-8.99099362294511
h2o2,m_4B03,8.99099362294511
h2s,A1R12,0.237059737619325
h2s,m_4B03,-0.237059737619325
pyr,A1R12,-9.68725681541218
pyr,m_4B03,9.68725681541218
ser__L,A1R12,-0.00353270534746535
ser__L,m_4B03,0.00353270534746535
val__L,A1R12,0.841510669414303
val__L,m_4B03,-0.841510669414303
