metabolites,species,fluxes
ac,A1R12,10.7340145846008
acald,A1R12,-10.7359514224941
acald,E3R01,10.7359514224941
ala__D,A1R12,-1.20566345401081
ala__D,E3R01,1.20566345401081
ala__L,A1R12,0.582845062965437
ala__L,E3R01,-0.582845062965437
asp__L,A1R12,-0.0561885271046782
asp__L,E3R01,0.0561885271046782
cit,A1R12,-9.98912652871133
cit,E3R01,-0.0108734712886717
co2,A1R12,10.3535440127805
co2,E3R01,-1.93285223049695
glu__L,A1R12,9.97559698002853
glu__L,E3R01,-9.97559698002853
gly,A1R12,-0.00860510912019585
gly,E3R01,0.00860510912019585
gthox,A1R12,6.4322212999273
gthox,E3R01,-6.4322212999273
gthrd,A1R12,-12.8644425998546
gthrd,E3R01,12.8644425998546
h2o2,A1R12,-6.4322212999273
h2o2,E3R01,6.4322212999273
h2s,A1R12,-0.00238294024916286
h2s,E3R01,0.00238294024916286
hxan,A1R12,-0.00432743833458013
hxan,E3R01,0.00432743833458013
ile__L,A1R12,-0.00281353788145048
ile__L,E3R01,0.00281353788145048
leu__L,A1R12,-0.0043630275644351
leu__L,E3R01,0.0043630275644351
lys__L,A1R12,-0.00332323614144001
lys__L,E3R01,0.00332323614144001
val__L,A1R12,0.297827013270134
val__L,E3R01,-0.297827013270134
