metabolites,species,fluxes
ac,A1R12,2.59820445524019
ac,E3R11,-2.59820445524019
acald,A1R12,1.27437051761141
acald,E3R11,-1.27437051761141
ala__D,A1R12,2.25839346194523
ala__D,E3R11,-2.25839346194523
ala__L,A1R12,3.89705903055324
ala__L,E3R11,-3.89705903055324
asp__L,A1R12,-10.0988691932968
asp__L,E3R11,10.0988691932968
cit,A1R12,-9.98893889454259
cit,E3R11,-0.0110611054574097
co2,A1R12,10.7012488456406
co2,E3R11,17.9092979048462
etoh,A1R12,-4.17394949763674
etoh,E3R11,4.17394949763674
glu__L,A1R12,9.9034246939289
glu__L,E3R11,-9.9034246939289
gly,A1R12,-0.0622356028703885
gly,E3R11,0.0622356028703885
h2s,A1R12,0.174292450971908
h2s,E3R11,-0.174292450971908
ile__L,A1R12,0.205787135465904
ile__L,E3R11,-0.205787135465904
leu__L,A1R12,0.319119550642411
leu__L,E3R11,-0.319119550642411
pyr,A1R12,-6.43358459611009
pyr,E3R11,6.43358459611009
ser__L,A1R12,-0.0101846351612309
ser__L,E3R11,0.0101846351612309
succ,A1R12,9.9885029099304
succ,E3R11,-9.9885029099304
thr__L,A1R12,-0.218408242265883
thr__L,E3R11,0.218408242265883
val__L,A1R12,-0.343528351290358
val__L,E3R11,0.343528351290358
