metabolites,species,fluxes
ac,B3M02,-0.0226290077710019
ac,G2R10,0.0226290077710019
acald,B3M02,-0.512334227332047
acald,G2R10,0.512334227332047
ala__D,B3M02,-0.12741476004188
ala__D,G2R10,0.12741476004188
ala__L,B3M02,0.133965836109099
ala__L,G2R10,-0.133965836109099
arg__L,B3M02,-0.162161112979165
arg__L,G2R10,0.162161112979165
asp__L,B3M02,-1.35752152442706
asp__L,G2R10,1.35752152442706
cgly,B3M02,0.68070240609604
cgly,G2R10,-0.68070240609604
co2,B3M02,-1.67927361378925
co2,G2R10,1.68340377837168
etoh,B3M02,3.1279994695597
etoh,G2R10,-3.1279994695597
f6p,G2R10,-10
for,B3M02,-1.30126821025434
for,G2R10,1.30126821025434
glu__L,B3M02,-0.390153858535996
glu__L,G2R10,0.390153858535996
gly,B3M02,3.78621740747066
gly,G2R10,-3.78621740747066
glyald,B3M02,-3.9231489221354
glyald,G2R10,3.9231489221354
glyc,B3M02,2.24342072208813
glyc,G2R10,-2.24342072208813
gthrd,B3M02,-0.68070240609571
gthrd,G2R10,0.68070240609571
h2s,B3M02,0.211249991598035
h2s,G2R10,-0.211249991598035
ile__L,B3M02,0.249422911869321
ile__L,G2R10,-0.249422911869321
leu__L,B3M02,-0.246993185723807
leu__L,G2R10,0.246993185723807
orn,B3M02,0.416102378559022
orn,G2R10,-0.416102378559022
phe__L,B3M02,-0.10156724521314
phe__L,G2R10,0.10156724521314
pro__L,B3M02,0.189778582459145
pro__L,G2R10,-0.189778582459145
pyr,B3M02,-6.86989705310914
pyr,G2R10,6.86989705310914
ser__D,B3M02,-0.671078851341474
ser__D,G2R10,0.671078851341474
thr__L,B3M02,0.217793577382611
thr__L,G2R10,-0.217793577382611
trp__L,B3M02,-0.0311628581742396
trp__L,G2R10,0.0311628581742396
tyr__L,B3M02,-0.0755982881057466
tyr__L,G2R10,0.0755982881057466
ura,B3M02,-0.181350697003107
ura,G2R10,0.181350697003107
val__L,B3M02,0.99756445309106
val__L,G2R10,-0.99756445309106
