metabolites,species,fluxes
ac,B3M02,-0.113252730198383
ac,m_3C02,0.113252730198383
acald,B3M02,1.2644990813572
acald,m_3C02,-1.2644990813572
ala__D,B3M02,-0.943978534619873
ala__D,m_3C02,0.943978534619873
ala__L,B3M02,-1.10688775668632
ala__L,m_3C02,1.10688775668632
arg__L,B3M02,-0.125241486943196
arg__L,m_3C02,0.125241486943196
asp__L,B3M02,-1.5601907200111
asp__L,m_3C02,1.5601907200111
cgly,B3M02,0.102639298119008
cgly,m_3C02,-0.102639298119008
co2,B3M02,-4.0868531896911104
co2,m_3C02,4.09098335557654
etoh,B3M02,2.52117125521679
etoh,m_3C02,-2.52117125521679
f6p,m_3C02,-10
for,B3M02,-1.52361475473872
for,m_3C02,1.52361475473872
glu__L,B3M02,-0.889946116147939
glu__L,m_3C02,0.889946116147939
gly,B3M02,5.27673296943464
gly,m_3C02,-5.27673296943464
glyald,B3M02,-2.42858345271257
glyald,m_3C02,2.42858345271257
glyc,B3M02,1.13128317170278
glyc,m_3C02,-1.13128317170278
gthrd,B3M02,-0.102639298119008
gthrd,m_3C02,0.102639298119008
h2s,B3M02,0.24196288370005
h2s,m_3C02,-0.24196288370005
ile__L,B3M02,0.285685630376143
ile__L,m_3C02,-0.285685630376143
leu__L,B3M02,-0.190759629584446
leu__L,m_3C02,0.190759629584446
lys__L,B3M02,0.337440209430065
lys__L,m_3C02,-0.337440209430065
orn,B3M02,0.416102378558987
orn,m_3C02,-0.416102378558987
phe__L,B3M02,-0.0784431765515857
phe__L,m_3C02,0.0784431765515857
pro__L,B3M02,0.217369822023957
pro__L,m_3C02,-0.217369822023957
pyr,B3M02,-3.45039533245881
pyr,m_3C02,3.45039533245881
ser__D,B3M02,-0.600647663183353
ser__D,m_3C02,0.600647663183353
thr__L,B3M02,0.249457818370051
thr__L,m_3C02,-0.249457818370051
trp__L,B3M02,-0.0240679323386597
trp__L,m_3C02,0.0240679323386597
tyr__L,B3M02,-0.0583866368378132
tyr__L,m_3C02,0.0583866368378132
ura,B3M02,-0.140062130395791
ura,m_3C02,0.140062130395791
val__L,B3M02,-0.179415187680436
val__L,m_3C02,0.179415187680436
