metabolites,species,fluxes
ac,A1R12,10.0646519399054
ac,m_3C02,-10.0646519399054
acald,A1R12,8.17354010700061
acald,m_3C02,-8.17354010700061
ala__D,A1R12,1.23406685668046
ala__D,m_3C02,-1.23406685668046
ala__L,A1R12,1.80109946080229
ala__L,m_3C02,-1.80109946080229
arg__L,A1R12,-0.00286450592294621
arg__L,m_3C02,0.00286450592294621
asp__L,A1R12,-1.20505413042849
asp__L,m_3C02,1.20505413042849
cit,A1R12,-9.98423251426981
cit,m_3C02,-0.015767485730187
co2,A1R12,5.02950423033914
co2,m_3C02,11.4948764399098
etoh,A1R12,-9.87472160231107
etoh,m_3C02,9.87472160231107
glu__L,A1R12,1.14212997077225
glu__L,m_3C02,-1.14212997077225
gly,A1R12,-1.09485885027467
gly,m_3C02,1.09485885027467
h2s,A1R12,0.248451996426648
h2s,m_3C02,-0.248451996426648
ile__L,A1R12,0.29334732720963
ile__L,m_3C02,-0.29334732720963
leu__L,A1R12,0.454901454502242
leu__L,m_3C02,-0.454901454502242
lys__L,A1R12,0.00187455284997368
lys__L,m_3C02,-0.00187455284997368
pyr,A1R12,-5.13791539110871
pyr,m_3C02,5.13791539110871
ser__L,A1R12,-0.00353270534767282
ser__L,m_3C02,0.00353270534767282
succ,A1R12,9.98408128595907
succ,m_3C02,-9.98408128595907
thr__L,A1R12,-0.297725162132573
thr__L,m_3C02,0.297725162132573
ura,A1R12,-0.00320348162464684
ura,m_3C02,0.00320348162464684
val__L,A1R12,0.427848544335175
val__L,m_3C02,-0.427848544335175
