metabolites,species,fluxes
ac,A1R12,0.744230419717667
ac,A3R12,-0.744230419717667
acald,A1R12,2.69962006525247
acald,A3R12,-2.69962006525247
ala__D,A1R12,1.52985051045459
ala__D,A3R12,-1.52985051045459
ala__L,A1R12,2.60473565565751
ala__L,A3R12,-2.60473565565751
asp__L,A1R12,-0.0659461632432113
asp__L,A3R12,0.0659461632432113
cit,A1R12,-0.00560484059095323
cit,A3R12,-9.99439515940905
co2,A1R12,0.0848303713019281
co2,A3R12,-0.0848303713019281
etoh,A1R12,-3.45015035076098
etoh,A3R12,3.45015035076098
glu__L,A1R12,-0.00774015663224148
glu__L,A3R12,0.00774015663224148
gly,A1R12,-0.00859215229853484
gly,A3R12,0.00859215229853484
gthox,A1R12,4.58417388554503
gthox,A3R12,-4.58417388554503
gthrd,A1R12,-9.16834777109006
gthrd,A3R12,9.16834777109006
gua,A1R12,-0.00234898743759305
gua,A3R12,0.00234898743759305
h2co3,A3R12,14.9042435271047
h2o2,A1R12,-4.58417388554503
h2o2,A3R12,4.58417388554503
h2s,A1R12,-0.00238294020778406
h2s,A3R12,0.00238294020778406
hxan,A1R12,-0.00197845096063892
hxan,A3R12,0.00197845096063892
lys__L,A1R12,-0.00201730450193187
lys__L,A3R12,0.00201730450193187
pyr,A1R12,-4.17459605750241
pyr,A3R12,4.17459605750241
succ,A1R12,0.00545361228020269
succ,A3R12,-0.00545361228020269
