metabolites,species,fluxes
ac,A1R12,0.947202907674978
ac,m_4B03,-10.947202907675
acald,A1R12,0.618763653580459
acald,m_4B03,-0.618763653580459
ala__D,A1R12,1.16769520149903
ala__D,m_4B03,-1.16769520149903
ala__L,A1R12,1.72633639950725
ala__L,m_4B03,-1.72633639950725
asp__L,A1R12,-0.512136834772048
asp__L,m_4B03,0.512136834772048
co2,A1R12,0.837402880537107
co2,m_4B03,4.1344329623119
etoh,A1R12,-2.02744341620467
etoh,m_4B03,2.02744341620467
glu__L,A1R12,0.440465883944549
glu__L,m_4B03,-0.440465883944549
gly,A1R12,-0.0215744674928929
gly,m_4B03,0.0215744674928929
gthox,A1R12,3.31992803496278
gthox,m_4B03,-3.31992803496278
gthrd,A1R12,-6.63985606992555
gthrd,m_4B03,6.63985606992555
h2o2,A1R12,-3.31992803496278
h2o2,m_4B03,3.31992803496278
h2s,A1R12,0.0843638601001712
h2s,m_4B03,-0.0843638601001712
pyr,A1R12,-3.5343544236656
pyr,m_4B03,3.5343544236656
ser__L,A1R12,-0.00353270534746535
ser__L,m_4B03,0.00353270534746535
val__L,A1R12,0.299473411639693
val__L,m_4B03,-0.299473411639693
