metabolites,species,fluxes
ac,A1R12,0.751784146006699
ac,A3R04,-0.751784146006699
acald,A1R12,0.896431968857712
acald,A3R04,-0.896431968857712
ala__D,A1R12,0.650154576950646
ala__D,A3R04,-0.650154576950646
ala__L,A1R12,1.2232734970044
ala__L,A3R04,-1.2232734970044
asp__L,A1R12,-10.0555717524156
asp__L,A3R04,10.0555717524156
cit,A1R12,-10
co2,A1R12,10.5781204880907
co2,A3R04,19.3176128237183
etoh,A1R12,-1.16642956837083
etoh,A3R04,1.16642956837083
glu__L,A1R12,9.98033367624769
glu__L,A3R04,-9.98033367624769
gly,A1R12,-0.0145404626263555
gly,A3R04,0.0145404626263555
gua,A1R12,-0.00234898743759305
gua,A3R04,0.00234898743759305
h2s,A1R12,-0.00238294020778407
h2s,A3R04,0.00238294020778407
pyr,A1R12,-2.40400723034401
pyr,A3R04,2.40400723034401
succ,A1R12,9.99984877168925
succ,A3R04,-9.99984877168925
