metabolites,species,fluxes
ac,A1R12,0.838440135908513
ac,E3R11,-10.8384401359085
acald,A1R12,-0.668155269573485
acald,E3R11,0.668155269573485
ala__D,A1R12,0.724650767806453
ala__D,E3R11,-0.724650767806453
ala__L,A1R12,1.26160005234791
ala__L,E3R11,-1.26160005234791
asp__L,A1R12,-0.633307988259417
asp__L,E3R11,0.633307988259417
co2,A1R12,0.954180724389168
co2,E3R11,8.17213583708395
etoh,A1R12,-0.75850988357198
etoh,E3R11,0.75850988357198
glu__L,A1R12,0.568542937307788
glu__L,E3R11,-0.568542937307788
gly,A1R12,-0.0215874249388538
gly,E3R11,0.0215874249388538
h2s,A1R12,0.0403271501596691
h2s,E3R11,-0.0403271501596691
ile__L,A1R12,0.0712834491125309
ile__L,E3R11,-0.0712834491125309
leu__L,A1R12,-0.00436302779653003
leu__L,E3R11,0.00436302779653003
pyr,A1R12,-2.52857825709517
pyr,E3R11,2.52857825709517
ser__L,A1R12,-0.003532705347521
ser__L,E3R11,0.003532705347521
thr__L,A1R12,-0.0756612840355426
thr__L,E3R11,0.0756612840355426
ura,A1R12,-0.00317926146554969
ura,E3R11,0.00317926146554969
val__L,A1R12,0.218871423764405
val__L,E3R11,-0.218871423764405
