metabolites,species,fluxes
ac,A1R12,0.869959689415666
ac,E3R09,-10.8699596894157
acald,A1R12,-0.815027597390326
acald,E3R09,0.815027597390326
ala__D,A1R12,0.504008288522678
ala__D,E3R09,-0.504008288522678
ala__L,A1R12,0.852375047657009
ala__L,E3R09,-0.852375047657009
asp__L,A1R12,-0.418957731293238
asp__L,E3R09,0.418957731293238
co2,A1R12,0.657383896426105
co2,E3R09,8.55925875925285
etoh,A1R12,-0.419963384665005
etoh,E3R09,0.419963384665005
glu__L,A1R12,0.346079042779367
glu__L,E3R09,-0.346079042779367
gly,A1R12,-0.0215874249390807
gly,E3R09,0.0215874249390807
gthox,A1R12,1.31653121157743
gthox,E3R09,-1.31653121157743
gthrd,A1R12,-2.63306242315486
gthrd,E3R09,2.63306242315486
h2o2,A1R12,-1.31653121157743
h2o2,E3R09,1.31653121157743
h2s,A1R12,0.047094928937895
h2s,E3R09,-0.047094928937895
ile__L,A1R12,-0.00281353803132615
ile__L,E3R09,0.00281353803132615
leu__L,A1R12,-0.00436302779653003
leu__L,E3R09,0.00436302779653003
pyr,A1R12,-1.82064630753069
pyr,E3R09,1.82064630753069
val__L,A1R12,0.216887684541412
val__L,E3R09,-0.216887684541412
