metabolites,species,fluxes
ac,A1R12,7.25621782862572
ac,m_6D03,-7.25621782862572
acald,A1R12,12.84893130309
acald,m_6D03,-12.84893130309
ala__D,A1R12,5.07422204675489
ala__D,m_6D03,-5.07422204675489
ala__L,A1R12,8.7982526080186
ala__L,m_6D03,-8.7982526080186
asp__L,A1R12,-5.43866607996341
asp__L,m_6D03,5.43866607996341
cit,A1R12,-9.95984157854273
cit,m_6D03,-0.040158421457273
co2,A1R12,6.09802296779124
co2,m_6D03,-6.09391408046721
etoh,A1R12,-16.0915831999737
etoh,m_6D03,16.0915831999737
glu__L,A1R12,5.27754968935191
glu__L,m_6D03,-5.27754968935191
gly,A1R12,-0.0539166827970949
gly,m_6D03,0.0539166827970949
h2s,A1R12,0.340204571164577
h2s,m_6D03,-0.340204571164577
ile__L,A1R12,-0.00480096943553868
ile__L,m_6D03,0.00480096943553868
leu__L,A1R12,0.622895193058137
leu__L,m_6D03,-0.622895193058137
lys__L,A1R12,-0.00830508926350302
lys__L,m_6D03,0.00830508926350302
pyr,A1R12,-13.9220809855415
pyr,m_6D03,13.9220809855415
ser__L,A1R12,-0.00882857264526717
ser__L,m_6D03,0.00882857264526717
succ,A1R12,9.95946364435458
succ,m_6D03,-9.95946364435458
thr__L,A1R12,-0.00613966383123459
thr__L,m_6D03,0.00613966383123459
val__L,A1R12,-0.644054013802084
val__L,m_6D03,0.644054013802084
