metabolites,species,fluxes
ac,A1R12,1.11015117878924
ac,C1M14,-1.11015117878924
acald,A1R12,0.630808509321241
acald,C1M14,-0.630808509321241
ala__D,A1R12,1.08230768601478
ala__D,C1M14,-1.08230768601478
ala__L,A1R12,1.86575292430959
ala__L,C1M14,-1.86575292430959
asp__L,A1R12,-0.730286637737513
asp__L,C1M14,0.730286637737513
cit,C1M14,-9.99984877168925
co2,A1R12,1.76652954609221
co2,C1M14,29.3739116441153
etoh,A1R12,-1.30718038349271
etoh,C1M14,1.30718038349271
glu__L,A1R12,0.55368049416339
glu__L,C1M14,-0.55368049416339
gly,A1R12,-0.0215874249390869
gly,C1M14,0.0215874249390869
h2s,A1R12,0.164078121703028
h2s,C1M14,-0.164078121703028
pyr,A1R12,-3.8981550565876
pyr,C1M14,3.8981550565876
