metabolites,species,fluxes
ac,A1R12,0.74329520985053
ac,E3M18,-10.7432952098505
acald,A1R12,-1.55858620385465
acald,E3M18,4.33935291331335
acald,E3R01,-2.78076670945859
ala__D,A1R12,0.633030820010587
ala__D,E3M18,-0.958328252954258
ala__D,E3R01,0.32529743294367103
ala__L,A1R12,1.37807878400568
ala__L,E3M18,-1.10265313005687
ala__L,E3R01,-0.275425653948808
arg__L,A1R12,-0.00286450592299134
arg__L,E3M18,0.00286450592299134
asp__L,A1R12,-0.756269771345568
asp__L,E3M18,-6.44448622281362
asp__L,E3R01,7.20075599415919
co2,A1R12,0.765129968543903
co2,E3M18,6.59291872435552
co2,E3R01,-2.9780681846176
etoh,A1R12,0.113185991194541
etoh,E3M18,-0.113185991194541
glu__L,A1R12,0.690969452788859
glu__L,E3M18,6.10825183400041
glu__L,E3R01,-6.79922128678927
gly,A1R12,-0.0184671864055672
gly,E3R01,0.0184671864055672
glyald,E3M18,4.96086095794473
glyald,E3R01,-4.96086095794473
glyc,E3M18,-4.96086192636373
glyc,E3R01,4.96086095794473
gthox,A1R12,2.07442129461231
gthox,E3M18,0.0100916268293725
gthox,E3R01,-2.08451292144169
gthrd,A1R12,-4.14884258922463
gthrd,E3M18,-0.020183253658745
gthrd,E3R01,4.16902584288337
h2o2,A1R12,-2.07442129461231
h2o2,E3M18,-0.0100916268293725
h2o2,E3R01,2.08451292144169
h2s,A1R12,-0.00238294020778406
h2s,E3M18,-0.00888355042201498
h2s,E3R01,0.011266490629799
ile__L,A1R12,-0.002813538031119
ile__L,E3M18,-0.0104888099508588
ile__L,E3R01,0.0133023479819778
leu__L,A1R12,-0.00436302779653003
leu__L,E3M18,0.148726786696093
leu__L,E3R01,-0.144363758899563
lys__L,A1R12,-0.00332323631822236
lys__L,E3M18,-0.0123889543265789
lys__L,E3R01,0.0157121906448013
pro__L,E3M18,0.0708327079014384
pro__L,E3R01,-0.0708327079014384
pyr,A1R12,-2.03006685137763
pyr,E3M18,2.03006685137763
val__L,A1R12,-0.00410355929435719
val__L,E3M18,-0.180290043331152
val__L,E3R01,0.184393602625509
