metabolites,species,fluxes
ac,A1R12,1.97602201818893
ac,C2M11,-1.97602201818893
acald,A1R12,2.97833691722766
acald,C2M11,-2.97833691722766
ala__D,A1R12,1.55195634926667
ala__D,C2M11,-1.55195634926667
ala__L,A1R12,2.24982833876556
ala__L,C2M11,-2.24982833876556
asp__L,A1R12,-6.16156570995905
asp__L,C2M11,6.16156570995905
cit,A1R12,-6.79446868613702
cit,C2M11,-3.20553131386298
co2,A1R12,6.1909926790955
co2,C2M11,8.70729634879253
etoh,A1R12,-4.27268576193237
etoh,C2M11,4.27268576193237
glu__L,A1R12,6.09267813386873
glu__L,C2M11,-6.09267813386873
gly,A1R12,-0.0215744674928925
gly,C2M11,0.0215744674928925
gthox,A1R12,4.91443238726691
gthox,C2M11,-4.91443238726691
gthrd,A1R12,-9.82886477453381
gthrd,C2M11,9.82886477453381
h2o2,A1R12,-4.91443238726691
h2o2,C2M11,4.91443238726691
h2s,A1R12,0.257844606072828
h2s,C2M11,-0.257844606072828
lys__L,A1R12,-0.00154478873235019
lys__L,C2M11,0.00154478873235019
pyr,A1R12,-3.84226709519237
pyr,C2M11,3.84226709519237
succ,A1R12,6.79431745782627
succ,C2M11,-6.79431745782627
thr__L,A1R12,-0.00527029113485861
thr__L,C2M11,0.00527029113485861
