metabolites,species,fluxes
ac,A1R12,1.54112099541032
ac,E3R09,-1.54112099541032
acald,A1R12,0.362629890958829
acald,E3R09,-0.362629890958829
ala__D,A1R12,0.230569323659976
ala__D,E3R09,-0.230569323659976
ala__L,A1R12,0.311987982332994
ala__L,E3R09,-0.311987982332994
asp__L,A1R12,-9.61556238681302
asp__L,E3R09,9.61556238681302
cit,A1R12,-9.98933840321725
cit,E3R09,-0.0106615967827506
co2,A1R12,11.2922173658618
co2,E3R09,19.1687486697356
etoh,A1R12,-1.09749099283855
etoh,E3R09,1.09749099283855
glu__L,A1R12,9.56823092032704
glu__L,E3R09,-9.56823092032704
gly,A1R12,-0.0215874249388728
gly,E3R09,0.0215874249388728
gthox,A1R12,1.60745392071673
gthox,E3R09,-1.60745392071673
gthrd,A1R12,-3.21490784143345
gthrd,E3R09,3.21490784143345
h2o2,A1R12,-1.60745392071673
h2o2,E3R09,1.60745392071673
h2s,A1R12,0.16799729843414
h2s,E3R09,-0.16799729843414
ile__L,A1R12,-0.00281353803107468
ile__L,E3R09,0.00281353803107468
leu__L,A1R12,0.307593484895583
leu__L,E3R09,-0.307593484895583
pyr,A1R12,-2.49191513869096
pyr,E3R09,2.49191513869096
succ,A1R12,9.96408530506362
succ,E3R09,-9.96408530506362
val__L,A1R12,0.289300953991367
val__L,E3R09,-0.289300953991367
