metabolites,species,fluxes
ac,A1R12,0.970862393920243
ac,m_6D03,-10.9708623939202
acald,A1R12,1.62316254783952
acald,m_6D03,-1.62316254783952
ala__D,A1R12,1.54447859813373
ala__D,m_6D03,-1.54447859813373
ala__L,A1R12,2.67822263576673
ala__L,m_6D03,-2.67822263576673
arg__L,A1R12,-0.00286450592294621
arg__L,m_6D03,0.00286450592294621
asp__L,A1R12,-0.793191572622449
asp__L,m_6D03,0.793191572622449
co2,A1R12,1.3504519487545
co2,m_6D03,-1.34632190854549
etoh,A1R12,-3.33810044300606
etoh,m_6D03,3.33810044300606
glu__L,A1R12,0.732964103764118
glu__L,m_6D03,-0.732964103764118
gly,A1R12,-0.0206570067024458
gly,m_6D03,0.0206570067024458
h2s,A1R12,0.112987709208587
h2s,m_6D03,-0.112987709208587
ile__L,A1R12,0.133404613287796
ile__L,m_6D03,-0.133404613287796
leu__L,A1R12,-0.0043630277964613
leu__L,m_6D03,0.0043630277964613
lys__L,A1R12,-0.00332323631817002
lys__L,m_6D03,0.00332323631817002
pyr,A1R12,-5.19770051890794
pyr,m_6D03,5.19770051890794
ser__L,A1R12,-0.00353270534746535
ser__L,m_6D03,0.00353270534746535
thr__L,A1R12,-0.137782448210739
thr__L,m_6D03,0.137782448210739
val__L,A1R12,0.405808383869378
val__L,m_6D03,-0.405808383869378
