metabolites,species,fluxes
4abut,A1R12,-0.00578213931212979
4abut,m_6C06,0.00578213931212979
ac,A1R12,1.17810474786177
ac,m_6C06,-1.17810474786177
acald,A1R12,3.43360457070871
acald,m_6C06,-3.43360457070871
ala__D,A1R12,1.80988886348258
ala__D,m_6C06,-1.80988886348258
ala__L,A1R12,2.96255838387174
ala__L,m_6C06,-2.96255838387174
cit,A1R12,-0.0576968950465346
cit,m_6C06,-9.94230310495347
co2,A1R12,0.880875096228619
co2,m_6C06,33.0566395931339
etoh,A1R12,-4.83523226704908
etoh,m_6C06,4.83523226704908
glu__L,A1R12,-0.00710455872890314
glu__L,m_6C06,0.00710455872890314
gly,A1R12,-0.021587424938733
gly,m_6C06,0.021587424938733
h2s,A1R12,0.147985974230145
h2s,m_6C06,-0.147985974230145
ile__L,A1R12,-0.00281353803107468
ile__L,m_6C06,0.00281353803107468
leu__L,A1R12,0.270953890052974
leu__L,m_6C06,-0.270953890052974
pyr,A1R12,-5.86255647982398
pyr,m_6C06,5.86255647982398
thr__L,A1R12,-0.00245675310378393
thr__L,m_6C06,0.00245675310378393
val__L,A1R12,0.254493897251458
val__L,m_6C06,-0.254493897251458
