metabolites,species,fluxes
ac,A1R12,7.11290081854304
ac,C1R06,-7.11290081854304
acald,A1R12,6.17426469025759
acald,C1R06,-6.17426469025759
ala__D,A1R12,2.88381487956402
ala__D,C1R06,-2.88381487956402
ala__L,A1R12,3.77433241434809
ala__L,C1R06,-3.77433241434809
arg__L,A1R12,-0.00286450592294621
arg__L,C1R06,0.00286450592294621
asp__L,A1R12,4.31806860122773
asp__L,C1R06,-4.31806860122773
cit,A1R12,-1.97293520232597
cit,C1R06,-8.02706479767403
co2,A1R12,0.827238601127586
co2,C1R06,17.5100195917768
etoh,A1R12,-7.38201033603246
etoh,C1R06,7.38201033603246
glu__L,A1R12,-4.40013698043582
glu__L,C1R06,4.40013698043582
gly,A1R12,-1.92521242044928
gly,C1R06,1.92521242044928
h2s,A1R12,-0.00238294021528418
h2s,C1R06,0.00238294021528418
ile__L,A1R12,-0.00281353803107468
ile__L,C1R06,0.00281353803107468
leu__L,A1R12,0.435586065618177
leu__L,C1R06,-0.435586065618177
lys__L,A1R12,0.0120427987855815
lys__L,C1R06,-0.0120427987855815
pyr,A1R12,-8.39993955831395
pyr,C1R06,8.39993955831395
succ,A1R12,1.97278397401587
succ,C1R06,-1.97278397401587
val__L,A1R12,0.409681838259554
val__L,C1R06,-0.409681838259554
