metabolites,species,fluxes
ac,A1R12,10.0723878320835
ac,I3M07,-10.0723878320835
acald,A1R12,8.39245386458242
acald,I3M07,-8.39245386458242
ala__D,A1R12,1.32857089451958
ala__D,I3M07,-1.32857089451958
ala__L,A1R12,1.94285551756075
ala__L,I3M07,-1.94285551756075
arg__L,A1R12,-0.00286450592294621
arg__L,I3M07,0.00286450592294621
asp__L,A1R12,-1.20825761191511
asp__L,I3M07,1.20825761191511
cit,A1R12,-9.98423251426981
cit,I3M07,-0.0157674857301894
co2,A1R12,5.02575512466967
co2,I3M07,11.4986255454682
etoh,A1R12,-10.1013712519192
etoh,I3M07,10.1013712519192
glu__L,A1R12,1.14400452348364
glu__L,I3M07,-1.14400452348364
gly,A1R12,-1.09485885035869
gly,I3M07,1.09485885035869
h2s,A1R12,0.248451996426681
h2s,I3M07,-0.248451996426681
ile__L,A1R12,0.29334732720967
ile__L,I3M07,-0.29334732720967
leu__L,A1R12,0.454901454502304
leu__L,I3M07,-0.454901454502304
pyr,A1R12,-5.37230093285694
pyr,I3M07,5.37230093285694
ser__L,A1R12,-0.00353270534701137
ser__L,I3M07,0.00353270534701137
succ,A1R12,9.98408128595906
succ,I3M07,-9.98408128595906
thr__L,A1R12,-0.297725162132613
thr__L,I3M07,0.297725162132613
val__L,A1R12,0.427848544335233
val__L,I3M07,-0.427848544335233
