metabolites,species,fluxes
ac,A1R12,8.98357389843886
ac,C3R17,-8.98357389843886
acald,A1R12,2.44673635088793
acald,C3R17,-2.44673635088793
ala__D,A1R12,1.52453689438842
ala__D,C3R17,-1.52453689438842
ala__L,A1R12,2.23965997589665
ala__L,C3R17,-2.23965997589665
asp__L,A1R12,-2.29098252318371
asp__L,C3R17,2.29098252318371
cit,A1R12,-9.98597404269949
cit,C3R17,-0.0140259573005048
co2,A1R12,6.23666172124548
co2,C3R17,12.7195152160572
etoh,A1R12,-6.76847596522008
etoh,C3R17,6.76847596522008
glu__L,A1R12,4.87092264810973
glu__L,C3R17,-4.87092264810973
gly,A1R12,-0.0153631920538928
gly,C3R17,0.0153631920538928
h2s,A1R12,0.23461185626336
h2s,C3R17,-0.23461185626336
hxan,A1R12,-0.00207474429506243
hxan,C3R17,0.00207474429506243
ile__L,A1R12,-0.00192108181922561
ile__L,C3R17,0.00192108181922561
leu__L,A1R12,0.429172002754262
leu__L,C3R17,-0.429172002754262
pyr,A1R12,-5.46994542705897
pyr,C3R17,5.46994542705897
succ,A1R12,7.33210014690446
succ,C3R17,-7.33210014690446
val__L,A1R12,0.40364921859558
val__L,C3R17,-0.40364921859558
