metabolites,species,fluxes
ac,A1R12,0.923859898366629
ac,C2M11,-10.9238598983666
acald,A1R12,0.045679721723521
acald,C2M11,-0.045679721723521
ala__D,A1R12,0.833390184019528
ala__D,C2M11,-0.833390184019528
ala__L,A1R12,1.28605435323043
ala__L,C2M11,-1.28605435323043
arg__L,A1R12,-0.00286450592299134
arg__L,C2M11,0.00286450592299134
asp__L,A1R12,-0.252217646297165
asp__L,C2M11,0.252217646297165
co2,A1R12,0.284357893067787
co2,C2M11,4.68449743066222
etoh,A1R12,-1.17283584077126
etoh,C2M11,1.17283584077126
glu__L,A1R12,0.186043347804556
glu__L,C2M11,-0.186043347804556
gly,A1R12,-0.0215744674932364
gly,C2M11,0.0215744674932364
gthox,A1R12,2.18409301622966
gthox,C2M11,-2.18409301622966
gthrd,A1R12,-4.36818603245931
gthrd,C2M11,4.36818603245931
h2o2,A1R12,-2.18409301622966
h2o2,C2M11,2.18409301622966
h2s,A1R12,0.0843435835626916
h2s,C2M11,-0.0843435835626916
lys__L,A1R12,-0.00154478871876004
lys__L,C2M11,0.00154478871876004
pyr,A1R12,-2.15992694442477
pyr,C2M11,2.15992694442477
thr__L,A1R12,-0.00527029113494163
thr__L,C2M11,0.00527029113494163
